"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"PH_1",0.249876573908462,0.0221919134778277,11.2598029979757,0.0415335128082309,6.01626390385507
"theta_w_1",0.305084651614178,0.0477622138126229,6.38757350760714,0.0914051411121562,3.33771873115793
"theta_1_1",0.267172947523526,0.00307965532982511,86.7541717854178,0.00530839461189571,50.3302725318896
"theta_2_1",0,NA,NA,NA,NA
"theta_3_1",0.545859660011497,0.00333059366905386,163.892601215015,0.00491693534543505,111.016237079115
"sigma_1_1",11.4466974892927,0.178290929846155,64.2023545402446,0.33928705399294,33.7375014890222
"sigma_2_1",7.06778988189414,0.144003775211282,49.0805874465741,0.348198682152359,20.2981523026027
"sigma_3_1",0,NA,NA,NA,NA
"sigma_4_1",10.6150651823122,0.17803587117756,59.6231821829067,0.364581638072368,29.1157427412872
"rho_12_1",-0.398079848958866,0.0200545736483349,-19.8498285697496,0.0481296557401371,-8.27098891187148
"rho_13_1",0,NA,NA,NA,NA
"rho_14_1",-0.714314140662334,0.0119735892079165,-59.6574784935881,0.0252927333898312,-28.2418720686599
"rho_23_1",0,NA,NA,NA,NA
"rho_24_1",-0.25874457326555,0.0197480288096012,-13.1022987539775,0.0325817697439909,-7.94139100787398
"rho_34_1",0,NA,NA,NA,NA
"asc_1",0,NA,NA,NA,NA
"x_female_1",0,NA,NA,NA,NA
"x_mayor45_1",0,NA,NA,NA,NA
"x_underage_in_household_1",0,NA,NA,NA,NA
"x_only_worker_1",0,NA,NA,NA,NA
"x_university_1",0,NA,NA,NA,NA
"x_metropolitana_1",0,NA,NA,NA,NA
"PH_2",0.231534578529598,0.032230363174661,7.18374091147774,0.0668446731723933,3.46377007383172
"theta_w_2",0.136411104135607,0.071307700664304,1.91299260619538,0.149354020175776,0.913340691968412
"theta_1_2",0.300837171867286,0.00531171475512424,56.6365450209966,0.00946790491570031,31.7744183687795
"theta_2_2",0.10322599508709,0.00271727740221588,37.9887585282649,0.00374712856180752,27.5480260109615
"theta_3_2",0.44626348656287,0.00510041766502951,87.4954789727574,0.00762219453110735,58.5479004427925
"sigma_1_2",11.5755765071568,0.547926641530325,21.1261428625316,1.8869318016089,6.13460247863056
"sigma_2_2",8.76894053307014,0.339743511755213,25.8104723995089,1.08538332483001,8.07911853118207
"sigma_3_2",4.72296253850333,0.0946898420969636,49.8782386147286,0.27063350070469,17.4515073935984
"sigma_4_2",9.75493474131627,0.298070408289367,32.7269479627315,0.746205461852148,13.0727195658735
"rho_12_2",-0.421482167223462,0.034221987010715,-12.3161220034212,0.0866863000439168,-4.86215430823478
"rho_13_2",-0.267274308131194,0.0303425863173502,-8.80855393590374,0.04334864088263,-6.16569061195853
"rho_14_2",-0.577781881886494,0.021837188152318,-26.4586208561455,0.0369733770294745,-15.6269707640148
"rho_23_2",-0.157613950702824,0.033056832589214,-4.76796892979552,0.047208048015861,-3.33870933722718
"rho_24_2",-0.313891045542914,0.0357141176220198,-8.78899064131946,0.0835011556872793,-3.75912216973942
"rho_34_2",-0.0329940554422505,0.0330592228618004,-0.998028767348152,0.0580120962513384,-0.568744409774527
"asc_2",-0.0366762855794978,0.110744333224928,-0.331179795042027,0.191759856731675,-0.191261540369307
"x_female_2",-0.885207474819419,0.0994833225517395,-8.89804896050831,0.185957247653621,-4.76027412746115
"x_mayor45_2",-1.17928931499863,0.0955953648393265,-12.3362604136795,0.109422089124358,-10.7774337378843
"x_underage_in_household_2",-0.468477027684231,0.0895996924995879,-5.22855619941314,0.10109878010955,-4.63385440632018
"x_only_worker_2",-0.000591863853625807,0.10048007199335,-0.00589036056487876,0.199155685592468,-0.00297186521120435
"x_university_2",0.75917926014573,0.10585447290229,7.17191479330777,0.116771937209021,6.50138447893353
"x_metropolitana_2",0.285779804982642,0.104883123456251,2.72474536956223,0.193672754448403,1.47558083632655
