"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"PH_1",0.249877797140596,0.0226112595253639,11.0510339709426,0.0427805391923096,5.84092210753423
"theta_w_1",0.305086947808196,0.048705937957455,6.26385530394038,0.0949932413668683,3.21167004534497
"theta_1_1",0.267169227060331,0.003160757854358,84.5269518802151,0.00573130887325991,46.6157439719991
"theta_2_1",0,NA,NA,NA,NA
"theta_3_1",0.545862773977793,0.00339132448341458,160.958580238299,0.00529037814001058,103.180294400789
"sigma_1_1",11.4465258314207,0.191866343227758,59.6588522971581,0.393342481495488,29.1006600352471
"sigma_2_1",7.06757076139184,0.155821120244486,45.3569500097464,0.35451837828219,19.9356964105432
"sigma_3_1",0,NA,NA,NA,NA
"sigma_4_1",10.6150157548237,0.142805096625639,74.3321912568064,0.200273202353467,53.0026764943269
"rho_12_1",-0.398066714990942,0.017143588849221,-23.2195672966708,0.0229196879162844,-17.3678942071509
"rho_13_1",0,NA,NA,NA,NA
"rho_14_1",-0.714321879534236,0.0115654194979734,-61.7635944514943,0.0221221192124705,-32.2899389824987
"rho_23_1",0,NA,NA,NA,NA
"rho_24_1",-0.258744430595329,0.020489511136634,-12.6281407530856,0.0332231916418561,-7.78806664286135
"rho_34_1",0,NA,NA,NA,NA
"asc_1",0,NA,NA,NA,NA
"x_female_1",0,NA,NA,NA,NA
"x_mayor45_1",0,NA,NA,NA,NA
"x_underage_in_household_1",0,NA,NA,NA,NA
"x_only_worker_1",0,NA,NA,NA,NA
"x_university_1",0,NA,NA,NA,NA
"x_metropolitana_1",0,NA,NA,NA,NA
"PH_2",0.231568030454944,0.0314537948650997,7.36216508844488,0.0606631538058591,3.8172764837785
"theta_w_2",0.136322628387352,0.0700042144623853,1.94734887655372,0.141184212095711,0.965565670295602
"theta_1_2",0.30084249223136,0.00548802668431383,54.8179718388112,0.0103730134363557,29.0024199888682
"theta_2_2",0.103226164593619,0.0027295767847113,37.8176445417477,0.00375508111363261,27.4897296409555
"theta_3_2",0.44625844906527,0.00520587821769562,85.7220300598592,0.00844165884011922,52.8638336987056
"sigma_1_2",11.5759001969448,0.382861388488518,30.2352249273419,0.822090986724655,14.0810450228448
"sigma_2_2",8.76912357449949,0.260202232015512,33.7011850612286,0.530467842426771,16.5309239753021
"sigma_3_2",4.72297734127078,0.094070579394581,50.2067423382198,0.264098508351405,17.883392718699
"sigma_4_2",9.75498984277007,0.220255224782168,44.2894821333648,0.308420531790936,31.6288600701283
"rho_12_2",-0.421489477094566,0.028785419210647,-14.642464436949,0.0432601626396782,-9.74313204980825
"rho_13_2",-0.26725928053559,0.0308302773674985,-8.66872773636921,0.0436403663947645,-6.12413007988983
"rho_14_2",-0.577795381349082,0.0222815365634415,-25.9315770123817,0.0336151237419519,-17.1885543478749
"rho_23_2",-0.157639972832412,0.0359940153601409,-4.37961620161387,0.0650138500535475,-2.42471369873611
"rho_24_2",-0.313874805097699,0.0312032382798384,-10.059045868342,0.0506960637378716,-6.19130524059256
"rho_34_2",-0.0329737617242577,0.0325721974005695,-1.01232843823061,0.0447415867114986,-0.736982394855107
"asc_2",-0.0366649375426756,0.101373071417046,-0.361683206695368,0.120693556499817,-0.303785376833527
"x_female_2",-0.88518364226066,0.0893575356374551,-9.90608834437939,0.111487233426113,-7.93977583852513
"x_mayor45_2",-1.17928274913427,0.100707247674494,-11.7100087269384,0.121646503734516,-9.69434149712976
"x_underage_in_household_2",-0.468479732594694,0.0935646658220009,-5.00701550610931,0.112118516925082,-4.17843319233104
"x_only_worker_2",-0.000595695280497736,0.0904629127561175,-0.00658496683722416,0.103163988482066,-0.00577425600989916
"x_university_2",0.759156059311447,0.108982536778729,6.96585050917645,0.116889681589838,6.4946370713482
"x_metropolitana_2",0.28576106793541,0.0987180379797002,2.89471988892417,0.135823587409911,2.10391341728438
