"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"PH_1",1.04755997393264,0.0747800387751354,14.0085508257447,0.135526053448358,7.72958370201349
"theta_w_1",-0.978161900695386,0.133773592581354,-7.31207020623688,0.24672650454311,-3.96455947246833
"sigma_1",8.06443557893119,0.155846882444581,51.7458896349683,0.227467470217692,35.453137854012
"asc_1",0,NA,NA,NA,NA
"x_female_1",0,NA,NA,NA,NA
"x_mayor45_1",0,NA,NA,NA,NA
"x_underage_in_household_1",0,NA,NA,NA,NA
"x_only_worker_1",0,NA,NA,NA,NA
"x_university_1",0,NA,NA,NA,NA
"x_metropolitana_1",0,NA,NA,NA,NA
"PH_female_1",0.251499789637774,0.109450404058219,2.29784249589426,0.161905895521704,1.55337017733279
"theta_w_female_1",-0.553720924576108,0.190974863806187,-2.8994440081814,0.275958524335826,-2.00653676456923
"PH_2",0.000691543238695438,0.0019244922024138,0.359338031002707,0.000875058608236868,0.79028219617062
"theta_w_2",0.816602133964705,0.0237263225141188,34.4175602215122,0.0242668291160146,33.6509615681844
"sigma_2",12.7782057645493,0.339895020675111,37.5945659314715,0.752986982653468,16.9700221370626
"asc_2",-0.94854311084948,0.308514127899874,-3.07455323782554,0.501944924596128,-1.88973543584028
"x_female_2",0.508944885679766,0.288506499444886,1.7640673144592,0.468825539823595,1.0855741474137
"x_mayor45_2",-0.782345443421539,0.227906659025457,-3.43274499642483,0.2804998768165,-2.78911154008578
"x_underage_in_household_2",-2.39875808427679,0.322346969503894,-7.4415406726751,0.562822123628397,-4.26201811117959
"x_only_worker_2",3.31555043775714,0.336617295378418,9.84961403729974,0.598670733377986,5.53818694134122
"x_university_2",0.996839303817262,0.302740147809074,3.29272252468453,0.370985837832501,2.68700096381396
"x_metropolitana_2",-0.203131667247014,0.235066400221543,-0.864145905393406,0.276332003254828,-0.735100042175318
"PH_female_2",0.0147001935646496,0.0117922735367361,1.24659536762394,0.0159565657268403,0.921262997082299
"theta_w_female_2",-0.145014051389019,0.0595465394099729,-2.43530611225968,0.0830652349171958,-1.74578512338618
