"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"PH_1",1.04764916769828,0.0746657944178396,14.0311795497078,0.138844148182865,7.54550466411064
"theta_w_1",-0.978332217573673,0.135177063342032,-7.23741286713889,0.261007163367435,-3.74829642585869
"sigma_1",8.06432573931582,0.170880797540333,47.1926972216548,0.300535803582497,26.8331614509356
"asc_1",0,NA,NA,NA,NA
"x_female_1",0,NA,NA,NA,NA
"x_mayor45_1",0,NA,NA,NA,NA
"x_underage_in_household_1",0,NA,NA,NA,NA
"x_only_worker_1",0,NA,NA,NA,NA
"x_university_1",0,NA,NA,NA,NA
"x_metropolitana_1",0,NA,NA,NA,NA
"PH_female_1",0.251428030582917,0.105046652118103,2.39348923086324,0.150634927312268,1.66912173072386
"theta_w_female_1",-0.553586066042468,0.183342304978679,-3.01941260150975,0.255070649038046,-2.17032444983466
"PH_2",0.000691927102174281,0.00192848766163314,0.3587925999943,0.000912690208161632,0.758118248653047
"theta_w_2",0.816613709250681,0.0240240093798956,33.9915663675215,0.028426258074427,28.7274430251279
"sigma_2",12.7781010017839,0.309255085284012,41.3189680940859,0.625857435656205,20.416951647121
"asc_2",-0.948399165182772,0.258314981836865,-3.67148338992479,0.347646444922915,-2.72805656158245
"x_female_2",0.508764500668065,0.271742733165942,1.87222854035763,0.462163579035529,1.10083209440646
"x_mayor45_2",-0.782235053622739,0.218471783485846,-3.58048550316987,0.287243446526949,-2.72324769487595
"x_underage_in_household_2",-2.39850101412242,0.378621046466069,-6.33483277411355,0.824687652514483,-2.90837507607803
"x_only_worker_2",3.31529859761093,0.37208284309207,8.91010875443826,0.784685453248013,4.22500325944373
"x_university_2",0.996774205605608,0.29930380808925,3.33030913294754,0.433810299273512,2.29771908890793
"x_metropolitana_2",-0.203098116697972,0.251988565897784,-0.805981477668934,0.409373534727913,-0.496119312727334
"PH_female_2",0.0146967523436386,0.0121355241822188,1.21105212456933,0.019025685732639,0.772468995344854
"theta_w_female_2",-0.145017881047682,0.0610764120449628,-2.37436804475227,0.095374948732733,-1.52050284665487
