"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"PH_1",0.249877831008656,0.0226652057313216,11.0247325336802,0.0440401950643945,5.6738584069233
"theta_w_1",0.305083594899469,0.0489470290788679,6.23293386015096,0.0982282347136702,3.10586457945387
"theta_1_1",0.267170783243506,0.00318411718133312,83.90733381604,0.00594721311472223,44.9236941891539
"theta_2_1",0,NA,NA,NA,NA
"theta_3_1",0.545861109479204,0.0034128577033248,159.942534066811,0.00550358208693897,99.1828777796618
"sigma_1_1",11.4466244868189,0.220061542433658,52.015560557428,0.516090114580043,22.1795073446299
"sigma_2_1",7.06767208393774,0.157425491728072,44.8953470391318,0.371796246904348,19.0095304694026
"sigma_3_1",0,NA,NA,NA,NA
"sigma_4_1",10.6150494463351,0.18080666509474,58.7093923820394,0.340342719133823,31.1892949358532
"rho_12_1",-0.398073757977981,0.0174429195087814,-22.8215097694841,0.0240613517293185,-16.5441144976461
"rho_13_1",0,NA,NA,NA,NA
"rho_14_1",-0.714317889146652,0.0119151767486404,-59.9502553940847,0.0228867113286242,-31.2110324148346
"rho_23_1",0,NA,NA,NA,NA
"rho_24_1",-0.258742588320173,0.0197540039389461,-13.0982351284262,0.03025636986936,-8.55167323235946
"rho_34_1",0,NA,NA,NA,NA
"asc_1",0,NA,NA,NA,NA
"x_female_1",0,NA,NA,NA,NA
"x_mayor45_1",0,NA,NA,NA,NA
"x_underage_in_household_1",0,NA,NA,NA,NA
"x_only_worker_1",0,NA,NA,NA,NA
"x_university_1",0,NA,NA,NA,NA
"x_metropolitana_1",0,NA,NA,NA,NA
"PH_2",0.231567959775013,0.0317860450080871,7.28520832699057,0.0634647331135695,3.64876599040642
"theta_w_2",0.136332545512311,0.0707729097839079,1.9263380003532,0.147613237059425,0.923579404043738
"theta_1_2",0.300841117211286,0.00553043532445714,54.3973664931731,0.0108637961556308,27.6920804571023
"theta_2_2",0.103225564419512,0.00272037814361194,37.9452998701334,0.00374550454160443,27.5598556276997
"theta_3_2",0.446261038160197,0.00525464246171157,84.9270033902246,0.00887154789515337,50.3025000185136
"sigma_1_2",11.575558836623,0.327517910430833,35.3432849562212,0.651728595207052,17.7613180114424
"sigma_2_2",8.76904207808996,0.247533255621906,35.4257130261488,0.518318367938148,16.9182545333535
"sigma_3_2",4.72291157649898,0.104782446512982,45.0734997480122,0.331068845305851,14.2656478960919
"sigma_4_2",9.75487856370443,0.219640294118595,44.4129735067523,0.343618114459002,28.3887203649397
"rho_12_2",-0.421483591835787,0.0267965946933288,-15.728998279797,0.0337497840508571,-12.4884826285305
"rho_13_2",-0.267259052735534,0.0304587194119445,-8.77446780085991,0.0429044708094934,-6.22916557862304
"rho_14_2",-0.577779542778984,0.0247279829788781,-23.3654133162622,0.0426148820027151,-13.5581636185728
"rho_23_2",-0.15763552402496,0.0364545439990014,-4.32416666710404,0.0691648827122847,-2.27912660071585
"rho_24_2",-0.313894984665648,0.0327093927860215,-9.59647850142274,0.056404502392375,-5.56506965493735
"rho_34_2",-0.032988456126426,0.0319029686671642,-1.03402465364858,0.0421315297136452,-0.78298738143709
"asc_2",-0.0366638317576023,0.0969350900432847,-0.378230749476074,0.109300648605048,-0.335440203013662
"x_female_2",-0.885190249113335,0.0872424272175072,-10.1463276222982,0.0942122551308722,-9.39570173629427
"x_mayor45_2",-1.17929501584718,0.0971614920822378,-12.1374732990825,0.118612075840205,-9.94245322403713
"x_underage_in_household_2",-0.468468471613515,0.091911876130333,-5.09693079215592,0.106300932210537,-4.40700247751054
"x_only_worker_2",-0.000609315133934005,0.0921943773794295,-0.00660902704973368,0.11344459194969,-0.00537103729196911
"x_university_2",0.759171034227664,0.110798648876557,6.85180768831822,0.126912373637632,5.98185198549114
"x_metropolitana_2",0.285762076764637,0.0901756848330436,3.16894822915638,0.0959035354623578,2.97968240051796
