"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"PH_1",0.156490113987825,0.0564876785620432,2.77034068263124,0.168819945642594,0.926964603573136
"theta_w_1",0.281987897154922,0.140444604452271,2.007822929579,0.40223654585259,0.70104991717551
"sigma_1",13.18146071875,0.306554781137952,42.9987119098894,0.599407697538221,21.9908098826333
"asc_1",0,NA,NA,NA,NA
"x_female_1",0,NA,NA,NA,NA
"x_mayor45_1",0,NA,NA,NA,NA
"x_underage_in_household_1",0,NA,NA,NA,NA
"x_only_worker_1",0,NA,NA,NA,NA
"x_university_1",0,NA,NA,NA,NA
"x_metropolitana_1",0,NA,NA,NA,NA
"PH_female_1",0.085641354232653,0.0535723108652724,1.59861228402169,0.0850437888103256,1.00702656161828
"PH_mayor45_1",0.078490506814483,0.0605243078869702,1.29684269931785,0.122752015591417,0.639423364547762
"PH_underage_in_household_1",-0.0434027891834984,0.0783608315846026,-0.553883723613096,0.211839970640307,-0.204884796067094
"theta_w_female_1",-0.427252779418211,0.125161245822314,-3.41361878120614,0.206460653631861,-2.06941502849275
"theta_w_mayor45_1",0.0547977847004001,0.138614153397925,0.395326042522441,0.273422757691794,0.200414132177574
"theta_w_underage_in_household_1",0.662615203729407,0.19201380144263,3.45087279534634,0.534334187801352,1.24007637702521
"PH_2",0.0218744164236277,0.0382934682534053,0.571231006783578,0.137845238622525,0.158688226319725
"theta_w_2",0.723882250110735,0.0961014136671456,7.53248284794181,0.341768221580132,2.11805020011497
"sigma_2",6.31674090118544,0.244325518887922,25.8537909995521,0.554682807304369,11.3880236019633
"asc_2",0.469946071799675,0.216292312192306,2.17273590094984,0.318779407906934,1.474204607146
"x_female_2",-0.0394119851223953,0.184869628426811,-0.213187993386367,0.329523989352063,-0.119602779754792
"x_mayor45_2",-0.18306453131439,0.164081167296556,-1.11569495957768,0.210083260833247,-0.871390374408255
"x_underage_in_household_2",0.584765171915214,0.189328208636445,3.08863204340617,0.280707638466852,2.08318225720198
"x_only_worker_2",-2.31223020402268,0.427767235972164,-5.40534666889062,1.47483633392528,-1.56778765944061
"x_university_2",0.619771157014812,0.238752171735549,2.59587652128792,0.35053169579739,1.76808877612324
"x_metropolitana_2",-0.155304192067059,0.166981071358625,-0.930070640962124,0.184478037754541,-0.841857350378479
"PH_female_2",0.0257878798625785,0.0331702191635204,0.77744074392307,0.0510608884734501,0.50504173808075
"PH_mayor45_2",0.253218439879527,0.0559097610729166,4.52905601848815,0.0760091673054105,3.33141973338659
"PH_underage_in_household_2",0.920405360223578,0.068016877451358,13.5320143280879,0.123362974434332,7.46095304887064
"theta_w_female_2",-0.112465235598384,0.0795507838344803,-1.4137539591362,0.129171078084968,-0.870668862300624
"theta_w_mayor45_2",-0.367033546305257,0.117656583306961,-3.11953259213455,0.180248146268176,-2.03626807767099
"theta_w_underage_in_household_2",-1.71770093392436,0.145061083140169,-11.8412250669919,0.347720313058546,-4.93989240609923
