"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"PH_1",0.00457358234797058,0.010039331097556,0.455566441979782,0.0161287083755207,0.283567799819117
"theta_w_1",1.09635277008622,0.0477433215157823,22.9634791899388,0.0770330981542076,14.232229994067
"sigma_1",12.3020141215833,0.259105318078286,47.478817543476,0.629013261653789,19.5576387201107
"asc_1",0,NA,NA,NA,NA
"x_female_1",0,NA,NA,NA,NA
"x_mayor45_1",0,NA,NA,NA,NA
"x_underage_in_household_1",0,NA,NA,NA,NA
"x_only_worker_1",0,NA,NA,NA,NA
"x_university_1",0,NA,NA,NA,NA
"x_metropolitana_1",0,NA,NA,NA,NA
"PH_female_1",0.030824248164806,0.0228991566970113,1.34608660802033,0.0367324808258988,0.839155087588661
"theta_w_female_1",-0.198935075318285,0.0862630493961998,-2.30614471330119,0.1415667391449,-1.40523880482029
"PH_2",0.527441817624042,0.0442752717753822,11.9127855453912,0.0818308967221128,6.44550944388605
"theta_w_2",-0.581846758803665,0.0858400750884412,-6.77826479303736,0.163173413093478,-3.56581840002536
"sigma_2",6.65979439860275,0.303937558486924,21.9117190772896,0.618889182494525,10.7608835102909
"asc_2",0.417814169149855,0.20639116165986,2.02438014200641,0.307045854048259,1.36075496099741
"x_female_2",0.042812520394643,0.183571953011125,0.233219289180023,0.316092633092793,0.135442955363262
"x_mayor45_2",0.0190438847712495,0.163705284045571,0.116330299796238,0.224689314475536,0.0847565217585059
"x_underage_in_household_2",0.499245750620157,0.201241907692486,2.48082398117119,0.382799921975419,1.30419501666517
"x_only_worker_2",-2.35447978793836,0.234792565638429,-10.0279145616738,0.361579895633067,-6.51164463614894
"x_university_2",-0.450952391296114,0.269250459079213,-1.67484353727116,0.473558787440042,-0.952262745949382
"x_metropolitana_2",-0.306231959845403,0.167598373995301,-1.82717739167319,0.227018370793216,-1.34893030363759
"PH_female_2",0.0278803465479512,0.0510971344369531,0.545634248479271,0.060267149542573,0.462612663110214
"theta_w_female_2",-0.120204359874597,0.0963922706603444,-1.24703318068063,0.109801297268654,-1.09474444168442
