"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"PH_1",1.04766568609404,0.0877664403738496,11.9369736499669,0.237830984130411,4.40508493846859
"theta_w_1",-0.978360558734707,0.158991038379072,-6.1535578904898,0.439707245380226,-2.225027149345
"sigma_1",8.06433469783863,0.181255051586684,44.4916410728663,0.424762606238355,18.9855099752198
"asc_1",0,NA,NA,NA,NA
"x_female_1",0,NA,NA,NA,NA
"x_mayor45_1",0,NA,NA,NA,NA
"x_underage_in_household_1",0,NA,NA,NA,NA
"x_only_worker_1",0,NA,NA,NA,NA
"x_university_1",0,NA,NA,NA,NA
"x_metropolitana_1",0,NA,NA,NA,NA
"PH_female_1",0.251424102835523,0.113299360919105,2.21911316000308,0.203396733901713,1.23612654939198
"theta_w_female_1",-0.553579661114071,0.196834356003728,-2.81241381003419,0.340687833247517,-1.62488826160071
"PH_2",0.000691919731632229,0.001927209251438,0.359026779845493,0.000910155859256012,0.760221147395376
"theta_w_2",0.81661569444131,0.0242743450130981,33.6411010884403,0.0339315648620241,24.0665497675074
"sigma_2",12.7780640342593,0.397376151970779,32.1560918310944,1.19610975519386,10.6830196633487
"asc_2",-0.948364682796454,0.363278296194634,-2.61057347144225,0.949724567814668,-0.998568126945117
"x_female_2",0.508740599899416,0.326055495675836,1.56028837620086,0.829819204585745,0.613074025146701
"x_mayor45_2",-0.782238027168449,0.232732021368393,-3.36111044182545,0.287698366258344,-2.71895192642847
"x_underage_in_household_2",-2.39849256128015,0.453261147347433,-5.29163502170122,1.33456263847381,-1.79721242910189
"x_only_worker_2",3.31528110596979,0.502097816075237,6.60285904424847,1.51645455592669,2.18620537820459
"x_university_2",0.996786473955898,0.350146955537547,2.84676607404918,0.722026714904081,1.38053960245545
"x_metropolitana_2",-0.203103140852264,0.234850136106141,-0.864820196486801,0.312030107562958,-0.650908793508923
"PH_female_2",0.0146956469357862,0.0127692565874347,1.15086158972224,0.0262693296303965,0.559422228985308
"theta_w_female_2",-0.145015359303693,0.0633672905763362,-2.28848918716193,0.12386622624286,-1.17074172437745
