id_hogar,id_persona,es_trabajador,es_familia,dia_semana,dia_fin_semana,parentesco,n_menores_0_4,n_menores_5_14,n_nna,n_menores_18,n_personas_15_65,n_mayores,n_tiempo,n_trabajadores,n_profesionales,n_tercera_edad,hay_tercera_edad,n_personas,edad_promedio,tiene_hijos,en_pareja,vive_pareja,servicio_domestico,ayuda_cercanos,fuentes_externas,sexo,edad_anios,tramo_edad,nivel_escolaridad,estudia,trabaja,horas_trabajo_contratadas,horas_trabajo_habituales,dias_trabajo_semana,quintil,macrozona,region,prop_ing_hogar,cae,cise,ciuo_agrupada,t11_1_1,t11_1_2,t11_1_3,t11_1_4,t11_1_5,t11_1_6,t11_1_7,t11_1_8,t12_1_1,t12_1_2,t12_1_3,t12_1_4,t12_1_5,t13_1_1,t13_1_2,t14_1_1,t15_1_1,ing_ocuppal,ing_trab,ing_jub_aps,ing_g,ing_mon,ing_mon_pc,ing_gpp,ing_personal,ingreso_hogar,income_person_week,t_paid_work,t_job_search,t_domestic_work,t_care_work,t_unpaid_voluntary,t_education,t_leisure,t_personal_care,t_meals,t_sleep,t_commute1,Tw,Tf_social,Tf_hobbies,Tf_read,Tf_listen,Tf_watch,Tf_computer,Tc_meals,Tc_sleep,Tc_other,t_total,w,savings,total_expenses,Ef_food,Ef_recreation,Ef_restaurants,Ef_communications,Ef_clothing,Ec_cuentas,Ec_hogar,Ec_salud,Ec_transporte,Ec_educacion
492,1629,1,0,3,6,3,0,0,0,0,4,4,3,2,0,0,0,4,38.5,0,0,0,0,0,0,0,25,25-44,secundaria,1,1,9,9,1,1,centro,8,0.2857142857142857,Ocupada(o),2,3,3,5,85,1,4,2,4,2,3,2,5,2,3,85,85,3,0,12.5,25,0,0,0,0,0.5714285714285714,25.57,89.5,22.017857142857142,9,0,19.99,1.23,0,0,66.95,4.49,11.84,54.5,0,9,11.74,28.36,0,2.77,17.94,6.13,11.84,54.5,25.71,168.00000000000003,2.7777777777777777,-3.919947661785737,29.489947661785738,11.06,1.06,1.18,2.15,1.19,5.59,0.84,1.96,3.41,1.06
494,1635,0,0,3,6,1,0,0,0,0,0,1,1,0,0,1,0,1,69,1,0,0,0,0,0,1,69,66+,secundaria,0,0,0,0,0,3,sur,14,1,Inactiva(o),0,7,5,85,5,85,85,3,5,5,4,85,5,5,85,85,85,2,9,0,0,32.5,25,57.5,57.5,25,57.5,57.5,57.5,0,0,18.89,0,4.96,0,73.99,3.85,10.8,55.51,0,0,42.21,0,0,0.99,30.79,0,10.8,55.51,27.7,168,NA,-45.2567472087123,102.7567472087123,23.13,4.48,3.95,7.97,2.91,27.7,7.82,13.71,10.43,0.66
496,1639,1,1,3,7,1,0,0,0,0,3,4,2,1,1,1,0,4,50.75,1,1,1,0,0,0,0,51,45-65,técnica,0,1,45,8,5,5,norte,5,0.26666666666666666,Ocupada(o),2,1,2,2,2,2,2,2,2,4,2,4,2,4,3,4,4,2,4,150,150,0,25,587.5,146.875,6.666666666666667,156.67,587.5,142.29166666666666,45,0,8.55,3.46,3.23,0.03,31.64,1.86,8.94,49.61999999999999,15.67,45,9.66,0,0.02,9.25,8.04,4.66,8.94,49.61999999999999,32.8,168,3.3333333333333335,20.458172501131905,136.21182749886808,26.35,8.01,8.53,9.75,4.45,22.81,9.9,16.37,22.61,7.44
497,1643,1,0,5,7,1,0,2,2,2,1,1,1,1,0,0,0,3,15.666666666666666,1,0,0,0,0,0,1,32,25-44,secundaria,0,1,27,9,3,1,sur,14,1,Ocupada(o),2,3,3,3,5,2,3,3,3,3,2,4,3,3,3,85,85,2,4,31.25,31.25,0,27.5,58.75,19.583333333333332,27.5,58.75,58.75,19.583333333333332,27,0,25.18,21.94,0,0,31.55,2.58,6.15,51.11000000000001,2.49,27,6.79,0.13,0.07,2.54,14.97,7.05,6.15,51.11000000000001,52.18,167.99999999999997,1.1574074074074074,-47.17443590116899,105.92443590116899,25.54,5.28,4.3,6.89,9.43,28.93,4.22,5.16,11.5,4.66
500,1649,0,0,4,7,1,0,0,0,0,1,1,1,0,1,0,0,1,44,0,0,0,0,0,0,1,44,25-44,técnica,0,0,0,0,0,1,metropolitana,13,0,Desocupada(o),0,7,4,4,85,4,85,4,4,4,1,85,3,3,85,85,85,3,0,0,0,0,0,0,0,0,0,0,0,0,3.69,24.9,2.51,29.8,0,42.89,5.6,7.1,51.51,0,0,28.41,1.52,0.51,4.31,4.46,3.69,7.1,51.51,66.5,168.00000000000003,NA,-0,0,0,0,0,0,0,0,0,0,0,0
501,1650,0,0,5,7,1,2,1,3,3,1,2,1,0,0,1,0,5,21.8,1,0,0,0,0,0,1,71,66+,primaria,0,0,0,0,0,1,norte,5,0.49449632877958777,Inactiva(o),0,7,4,85,4,85,85,4,2,2,2,85,1,4,85,85,85,2,9,0,0,19.5645,0,39.5645,7.9129,0,19.56,39.5645,7.9129,0,0,33.62,2.09,1.86,0,56.97,6.61,11.9,54.95000000000001,0,0,12.93,0,6.34,28.63,9.07,0,11.9,54.95000000000001,44.18,168,NA,-31.288852636843853,50.84885263684385,17.98,1.74,1.33,2.88,2.54,11.81,2.43,4.08,4.98,1.08
502,1656,0,0,1,7,2,0,0,0,0,2,2,2,0,0,0,0,2,56.5,1,1,1,0,0,0,1,55,45-65,primaria,0,0,0,0,0,1,norte,3,0,Inactiva(o),0,7,2,4,2,85,85,1,3,2,2,85,2,2,85,4,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,15.13,2.52,0,0,80.17,2.52,8.16,59.49999999999999,0,0,34.46,0,0,30.55,15.15,0,8.16,59.49999999999999,20.18,168.00000000000003,NA,-0,0,0,0,0,0,0,0,0,0,0,0
503,1660,0,0,3,6,3,0,1,1,3,4,2,3,2,2,0,0,5,25.4,0,0,0,0,0,0,1,15,12-24,primaria,1,0,0,0,0,4,sur,11,0,Inactiva(o),0,7,4,85,85,2,85,4,4,4,4,85,4,4,85,85,85,2,6,0,0,0,0,0,0,0,0,460.5,92.1,0,0,47.97,4.43,0,0,50.84,5.19,5.07,54.50000000000001,0,0,15.51,9.66,1.06,1.06,23.55,0,5.07,54.50000000000001,57.58,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
505,1664,1,1,1,7,1,0,1,1,1,4,4,4,2,2,0,0,5,33,1,1,1,0,0,0,0,57,45-65,universitaria,0,1,45,9,5,4,centro,6,0.6666666666666666,Ocupada(o),3,1,5,3,4,85,5,4,5,3,4,5,2,3,3,4,3,2,1,300,300,0,0,450,90,0,300,450,90,45,0,4.48,3.89,0,0,53.15,7.3,9.57,39.43999999999999,5.17,45,9.8,1.01,3.01,3.22,27.53,8.57,9.57,39.43999999999999,20.85,167.99999999999997,6.666666666666667,-11.256687513718052,311.2566875137181,57.54,19.87,21.21,23.06,13.98,47.08,16.65,31.61,52.39,27.88
505,1665,0,0,1,7,2,0,1,1,1,4,4,4,2,2,0,0,5,33,1,1,1,0,0,0,1,57,45-65,secundaria,0,0,0,0,0,4,centro,6,0,Inactiva(o),0,7,4,2,4,3,85,2,3,4,4,85,4,4,85,4,4,2,3,0,0,0,0,0,0,0,0,450,90,0,0,16.26,0.37,42.21,0.09,44.96,2.85,6.5,54.71000000000001,0.05,0,10.43,0,2.83,1.9,9.03,20.77,6.5,54.71000000000001,61.82,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
