id_household,id_person,is_worker,is_family,weekday,weekend_day,relationship_to_head,n_children_0_5,n_children_6_11,n_children_0_14,n_youth_12_17,n_underage,n_adults,n_time_reporters,n_workers,n_professionals,n_elderly,has_elderly,household_size,mean_age,has_children,in_couple,lives_with_partner,domestic_service,help_from_relatives,external_support,female,age,age_bracket,education_level,in_education,employed,contracted_hours,usual_hours,work_days_per_week,quintile,macrozone,region,income_share,employment_status,cise,occupation_group,t11_1_1,t11_1_2,t11_1_3,t11_1_4,t11_1_5,t11_1_6,t11_1_7,t11_1_8,t12_1_1,t12_1_2,t12_1_3,t12_1_4,t12_1_5,t13_1_1,t13_1_2,t14_1_1,t15_1_1,inc_main_job,inc_labor,inc_pension,inc_group,ing_mon,ing_mon_pc,inc_group_personal,inc_personal,household_income,inc_person_week,t_paid_work,t_job_search,t_domestic_work,t_care_work,t_unpaid_voluntary,t_education,t_leisure,t_personal_care,t_meals,t_sleep,t_commute1,Tw,Tf_social,Tf_hobbies,Tf_read,Tf_listen,Tf_watch,Tf_computer,Tc_meals,Tc_sleep,Tc_other,t_total,wage,Ef_food,Ef_recreation,Ef_restaurants,Ef_communications,Ef_clothing,Ec
860,2803,0,0,5,7,1,0,0,0,0,0,3,3,1,0,2,0,3,65,1,1,1,0,0,0,0,66,66+,primaria,0,0,0,0,0,2,centro,7,0.31512605042016806,Inactiva(o),0,7,4,4,4,85,2,3,3,4,2,85,3,3,3,3,4,3,0,0,0,37.5,0,119,39.666666666666664,0,37.5,119,39.666666666666664,0,0,27.28,4.62,0,0,33.92,4.73,18.27,79.17999999999999,0,0,1.34,0.01,4.87,5.34,22.36,0,18.27,79.17999999999999,36.63,168,NA,12.16,1.37,1.14,2.65,0.96,19.214935455363467
860,2804,0,0,5,7,2,0,0,0,0,0,3,3,1,0,2,0,3,65,1,1,1,0,0,0,1,75,66+,ninguna,0,0,0,0,0,2,centro,7,0.17857142857142858,Inactiva(o),0,7,4,4,4,85,2,3,3,4,3,85,3,3,4,4,4,3,0,0,0,21.25,0,0,0,0,21.25,119,39.666666666666664,0,0,37.29,12.11,0,0,26.54,3.58,15.75,72.73,0,0,1.15,0,0,3.48,21.91,0,15.75,72.73,52.98,168,NA,6.89,0.78,0.65,1.5,0.55,10.890796758039297
860,2805,1,0,5,7,3,0,0,0,0,0,3,3,1,0,2,1,3,65,0,0,0,0,0,0,0,54,45-65,ninguna,0,1,66,11,6,2,centro,7,0.5063025210084033,Ocupada(o),2,3,4,85,85,4,3,3,3,3,3,3,3,3,3,85,85,3,0,60.25,60.25,0,0,0,0,0,60.25,119,39.666666666666664,66,0,11.51,2.13,0.17,0,24.31,1.9,10.54,46.42,5.02,66,7.07,0.27,3.07,2.3,11.02,0.59,10.54,46.42,20.73,168,0.9128787878787878,19.53,2.2,1.83,4.26,1.55,30.874729631617306
861,2806,1,1,4,6,1,0,0,0,0,0,3,1,1,0,0,0,3,38,1,1,1,0,0,0,0,53,45-65,secundaria,0,1,45,9,5,4,centro,8,0.9782608695652174,Ocupada(o),2,2,4,4,4,85,4,4,4,4,4,4,4,4,4,4,4,1,1,225,225,0,0,230,76.66666666666667,0,225,230,76.66666666666667,45,0,9.14,4.79,0,0,23.79,7.34,15.87,56.1,5.97,45,9.79,0.43,0.11,2.95,9.28,1.23,15.87,56.1,27.24,168,5,47.35,12.19,14.76,19.52,10.59,120.58847854033019
862,2809,1,1,2,6,1,0,0,0,0,0,3,3,2,0,0,0,3,42.666666666666664,1,1,1,0,0,0,0,52,45-65,ninguna,0,1,6,3,2,2,metropolitana,13,0.20408163265306123,Ocupada(o),1,5,5,5,5,85,2,3,3,4,2,2,4,2,4,4,4,2,4,25,25,0,0,122.5,40.833333333333336,0,25,122.5,40.833333333333336,6,0,14.09,3.81,4.26,0.13,75.51,2.89,7.34,53.28999999999999,0.68,6,22.83,0.04,0.52,24.71,22.15,5.26,7.34,53.28999999999999,25.86,168,4.166666666666667,8.32,1.02,1.28,1.89,0.88,11.61538170377597
863,2815,0,0,2,6,13,0,0,0,0,0,5,5,1,1,0,0,5,23.8,0,0,0,0,0,0,0,25,25-44,secundaria,1,0,0,0,0,1,centro,7,0,Inactiva(o),0,7,4,85,85,4,85,4,4,4,4,85,4,4,85,85,85,3,0,0,0,0,0,0,0,0,0,75,15,0,0,1.95,0.27,0,32.13,30.48,1.16,11.15,83.35999999999999,7.5,0,14.44,0,7.5,1.09,5.32,2.14,11.15,83.35999999999999,43,168,NA,0,0,0,0,0,0
863,2816,1,0,2,6,13,0,0,0,0,0,5,5,1,1,0,0,5,23.8,0,0,0,0,0,0,0,26,25-44,universitaria,0,1,60,12,5,1,centro,7,1,Ocupada(o),2,3,4,85,85,3,4,4,4,4,4,4,4,4,85,85,85,3,0,75,75,0,0,0,0,0,75,75,15,60,0,7.27,0.81,0.39,0.77,27.46,1.42,10.17,55.35,4.36,60,17.37,1.32,1.05,2.05,3.97,1.71,10.17,55.35,15.02,168,1.25,56.19,7.13,7.48,12.1,8.65,-16.5507204316271
864,2817,1,1,5,6,1,1,1,2,0,2,2,2,1,0,0,0,4,15.5,1,1,1,0,0,0,0,26,25-44,primaria,0,1,72,12,6,1,norte,5,1,Ocupada(o),2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,7.5,7.5,0,7.5,15,3.75,7.5,15,15,3.75,72,0,4.12,10.11,0,0,35.43,2.12,5.44,37.76000000000001,1.02,72,15.97,1.79,0.25,12.16,4.7,0.55,5.44,37.76000000000001,17.36,168,0.10416666666666667,26.82,3.86,3.57,5.9,6.27,-31.430706291058577
865,2821,1,0,5,6,1,0,0,0,0,0,2,2,1,0,0,0,2,56.5,0,1,1,0,0,0,0,57,45-65,primaria,0,1,48,8,6,2,norte,5,1,Ocupada(o),2,6,4,4,85,85,4,4,4,4,4,4,4,4,4,4,85,1,1,56.25,56.25,0,2.47475,58.72475,29.362375,2.47475,58.72,58.72475,29.362375,48,0,0.53,0.09,0,0,58.23,3.08,6.66,48.8,2.61,48,12.82,0,0,42.17,3.24,0,6.66,48.8,6.31,168,1.171875,24.49,3.87,3.55,6.91,3.04,16.878329525225062
865,2822,0,0,5,6,2,0,0,0,0,0,2,2,1,0,0,0,2,56.5,0,1,1,0,0,0,1,56,45-65,secundaria,0,0,0,0,0,2,norte,5,0,Inactiva(o),0,7,5,4,85,85,85,3,5,4,4,85,4,4,85,4,96,3,0,0,0,0,0,0,0,0,0,58.72475,28.125,0,0,30.43,0.52,0,0,71.62,5.95,8.99,50.49,0,0,4.57,5.33,0.95,57.9,2.86,0,8.99,50.49,36.9,168.00000000000003,NA,0,0,0,0,0,0
866,2826,0,0,4,7,3,0,0,1,1,1,3,4,2,2,0,0,4,37.25,0,0,0,0,0,0,0,23,12-24,secundaria,1,0,0,0,0,5,norte,2,0,Inactiva(o),0,7,4,85,85,5,85,4,4,4,5,85,5,4,85,85,85,2,6,0,0,0,0,0,0,0,0,605,132.5,0,0,15.64,1.98,11.09,20.29,66.89,3.49,9.18,38.31000000000001,1.13,0,22.51,4.38,0.03,13.97,6.22,19.79,9.18,38.31000000000001,53.62,168,NA,0,0,0,0,0,0
867,2828,1,0,3,7,3,0,0,0,0,0,3,3,3,0,0,0,3,36.666666666666664,0,0,0,0,0,0,1,29,25-44,secundaria,1,1,24,12,2,5,norte,4,0.14423076923076922,Ocupada(o),2,1,2,2,85,2,4,2,3,2,3,3,2,2,2,85,85,2,6,75,75,0,0,0,0,0,75,520,173.33333333333334,24,0,21.08,4.23,0,42.51,14.01,4.74,6.76,49.05000000000001,1.62,24,1.68,0,0.07,0.1,2.69,9.47,6.76,49.05000000000001,74.17,168,3.125,9.62,3.41,4.79,4.51,2.92,49.76138852508496
867,2829,1,0,3,7,3,0,0,0,0,0,3,3,3,0,0,0,3,36.666666666666664,0,0,0,0,0,0,0,27,25-44,secundaria,0,1,84,12,7,5,norte,4,0.8173076923076923,Ocupada(o),1,3,4,5,85,3,5,3,3,4,5,5,5,4,4,85,85,2,9,425,425,0,0,0,0,0,425,520,173.33333333333334,84,0,11.28,1.4,0.95,0,23.81,1.77,3.13,40.91000000000001,0.75,84,15.62,2.38,0.03,0.93,4.85,0,3.13,40.91000000000001,16.13,168,5.059523809523809,54.5,19.33,27.14,25.53,16.52,281.9678683088148
868,2831,0,0,1,6,2,0,0,0,0,0,3,1,1,2,2,0,3,59.333333333333336,1,1,1,0,0,0,1,72,66+,secundaria,0,0,0,0,0,4,metropolitana,13,0,Inactiva(o),0,7,3,3,3,85,85,2,4,4,4,85,4,4,85,4,4,3,0,0,0,0,0,0,0,0,0,236.25,78.75,0,0,40.91,0.84,0,0,56.28,4.22,6.96,58.79,0,0,11.77,0,3.32,26.04,14.82,0.34,6.96,58.79,45.97,167.99999999999997,NA,0,0,0,0,0,0
