id_household,id_person,is_worker,is_family,weekday,weekend_day,relationship_to_head,n_children_0_5,n_children_6_11,n_children_0_14,n_youth_12_17,n_underage,n_adults,n_time_reporters,n_workers,n_professionals,n_elderly,has_elderly,household_size,mean_age,has_children,in_couple,lives_with_partner,domestic_service,help_from_relatives,external_support,female,age,age_bracket,education_level,in_education,employed,contracted_hours,usual_hours,work_days_per_week,quintile,macrozone,region,income_share,employment_status,cise,occupation_group,t11_1_1,t11_1_2,t11_1_3,t11_1_4,t11_1_5,t11_1_6,t11_1_7,t11_1_8,t12_1_1,t12_1_2,t12_1_3,t12_1_4,t12_1_5,t13_1_1,t13_1_2,t14_1_1,t15_1_1,inc_main_job,inc_labor,inc_pension,inc_group,ing_mon,ing_mon_pc,inc_group_personal,inc_personal,household_income,inc_person_week,t_paid_work,t_job_search,t_care_essential,t_care_education_related,t_care_other,t_domestic_meals,t_domestic_cleaning,t_domestic_laundry,t_domestic_maintenance,t_domestic_admin,t_domestic_shopping,t_domestic_pets,t_voluntary_community,t_voluntary_households,t_personal_care,t_meals,t_sleep,t_education,t_leisure_social,t_leisure_hobbies,t_media_reading,t_media_video,t_media_audio,t_media_computer,t_commute1,t_total,wage,savings,food,clothing,utilities,household_goods,health,transportation,communications,recreation,education_exp,restaurants,total_expenses
6021,19418,1,0,5,6,3,0,0,0,0,0,3,3,3,1,1,0,3,51.333333333333336,0,0,0,0,0,0,0,46,45-65,técnica,0,1,18,6,3,3,sur,11,0.06060606060606061,Ocupada(o),2,4,4,85,85,4,3,4,4,4,3,3,4,4,4,85,85,3,0,9,9,0,0,0,0,0,9,148.5,49.5,18,0,2.9,0,1.99,2.14,4.48,0.11,0,0,1.74,0.29,0,0,0.81,10.21,56.00999999999999,0,16.89,0.05,0.42,11.06,30.44,2.09,8.37,168,0.5,-2.2872947843295233,2.81,0.42,2.32,0.6,1.18,1.7,0.94,0.52,0.18,0.62,11.287294784329523
6022,19421,1,1,3,7,2,1,1,2,0,2,2,1,2,0,0,0,4,22.25,1,1,1,0,0,0,1,31,25-44,secundaria,0,1,40,8,5,4,centro,8,0.15611814345991562,Ocupada(o),3,3,2,3,4,2,2,3,2,3,4,4,3,2,4,2,3,2,1,55.5,55.5,0,0,0,0,1.1708860759493671,56.67,363,89.16772151898734,40,0,1.96,3.89,1.44,14.03,6.32,5.26,0,0,0.79,2.56,0,0,5.99,8.5,49.42999999999999,0,11.47,0.05,0,10.92,2.53,0.79,2.07,168,1.3875,12.530125023237739,8.79,2.71,9.41,2.54,3.64,7.21,3.21,2.26,1.84,2.53,44.139874976762265
6025,19431,0,0,5,6,2,0,0,0,0,0,2,2,0,0,0,0,2,56.5,1,1,1,0,0,0,1,56,45-65,primaria,0,0,0,0,0,2,centro,8,0,Inactiva(o),0,7,3,2,5,1,85,4,4,5,1,85,2,2,85,4,85,2,9,0,0,0,0,0,0,0,0,62.5,31.25,0,0,0,0,0.08,19.34,4.19,0.77,0,0.08,4.22,0.62,0,0,6.76,20.38,54.95000000000001,0,29.07,0.13,0.23,24.17,3.01,0,0,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
6026,19433,0,0,4,7,2,0,0,0,0,0,3,3,1,1,2,0,3,55.333333333333336,1,1,1,0,0,0,0,73,66+,secundaria,0,0,0,0,0,4,metropolitana,13,0.14375,Inactiva(o),0,7,4,4,4,85,85,3,4,4,4,85,4,4,4,4,4,3,0,0,0,28.75,0,0,0,0,28.75,200,66.66666666666667,0,0,0,0,2.16,8.6,0.61,2.56,5.11,1.7,14.14,2.06,0,0.52,3.1,21.48,57.01999999999999,0,22.13,5.11,3.64,17.54,0.52,0,0,168,NA,-8.973464103382483,9.67,1.04,7.55,2.33,4.66,4.66,2.87,1.89,0.81,2.24,37.72346410338248
6026,19434,1,0,4,7,3,0,0,0,0,0,3,3,1,1,2,1,3,55.333333333333336,0,0,0,0,0,0,1,25,25-44,universitaria,0,1,45,9,5,4,metropolitana,13,0.75,Ocupada(o),3,1,4,85,85,5,4,4,4,4,4,4,4,4,4,85,85,2,6,150,150,0,0,0,0,0,150,200,66.66666666666667,45,0,0,0,0.03,3.29,1.81,3,0,3.55,9.71,1,0,0,1.31,9.92,36.99000000000001,0,13.93,0.03,2.74,3.77,4.95,24.85,2.12,168,3.3333333333333335,-46.81807358286513,50.45,5.42,39.38,12.17,24.31,24.33,15,9.85,4.21,11.7,196.81807358286514
6028,19441,1,1,2,6,1,2,1,3,0,3,3,2,2,2,0,0,6,18,1,1,1,0,0,0,0,37,25-44,universitaria,0,1,66,11,6,3,centro,7,0.5714285714285714,Ocupada(o),2,1,2,2,2,2,4,2,2,2,3,3,2,2,2,4,2,1,1,200,200,0,0,350,58.333333333333336,0,200,350,58.333333333333336,66,0,1,2.7,1.29,1.8,2.23,0.39,0.11,0,0.72,0,0,0,2.9,10.38,50.25999999999999,0,18.5,0,0,1.93,4.68,0.74,2.37,168,3.0303030303030303,-21.539495156395386,48.73,12.57,41.02,15.41,23.2,35.33,14.05,12.01,8.68,10.55,221.5394951563954
6028,19442,1,1,2,6,2,2,1,3,0,3,3,2,2,2,0,0,6,18,1,1,1,0,0,0,1,37,25-44,universitaria,0,1,53,96,5,3,centro,7,0.42857142857142855,Ocupada(o),2,1,2,2,2,2,4,2,2,2,2,2,2,2,2,4,4,1,1,150,150,0,0,0,0,0,150,350,58.333333333333336,53,0,10.14,1.51,2.25,4.33,2.95,0.19,0.13,0,0.82,0.28,0,0,3.12,6.67,49.17000000000001,0,17.08,0,2.77,8.17,4.29,0.03,1.1,168,2.830188679245283,-16.15462136729654,36.55,9.43,30.76,11.55,17.4,26.49,10.53,9.01,6.51,7.91,166.15462136729653
6030,19453,0,0,4,7,1,0,0,0,1,1,3,4,1,0,0,0,4,37.5,1,1,1,0,0,0,0,56,45-65,secundaria,0,0,0,0,0,1,sur,10,0,Desocupada(o),0,7,2,4,3,85,85,4,2,2,1,85,2,2,85,4,4,2,4,0,0,0,2.25,12.25,3.0625,0,0,12.25,2.5,0,0,0.04,0.04,1.74,8.49,1.76,0,11.99,0,0,2,0,0,3.93,12,60.85999999999999,0,14.87,2.19,0.33,24.44,16.29,7.03,0,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
6030,19455,1,0,4,7,3,0,0,0,1,1,3,4,1,0,0,0,4,37.5,0,0,0,0,0,0,1,23,12-24,primaria,0,1,48,12,4,1,sur,10,1,Ocupada(o),2,3,3,4,85,3,2,4,3,5,2,2,4,4,2,85,85,2,1,10,10,0,0,0,0,2.25,12.25,12.25,3.0625,48,0,0.47,0,0.41,1.53,3.95,1.53,0,0.07,0.51,0.02,0,25.58,3.65,7.94,42.76000000000001,0,19.07,0.05,0.01,2.93,1.59,0.15,7.78,167.99999999999997,0.20833333333333334,-80.80561086654716,33.91,3.96,18.23,2.82,6.46,9.9,6.68,3.47,4.17,3.46,93.05561086654716
6031,19457,0,0,1,7,1,0,0,0,0,0,1,1,0,0,1,0,1,70,1,0,0,0,0,0,1,70,66+,primaria,0,0,0,0,0,2,centro,6,1,Inactiva(o),0,7,4,85,5,5,85,3,5,5,2,85,5,5,85,85,85,3,0,0,0,30,0,30,30,0,30,30,30,0,0,0,0,0,27.5,12.05,0,0,0,0.17,0,0,0,6.03,10.2,45.04,0,14.5,0,0,49.45,3.06,0,0,168,NA,-34.68681000002525,16.97,1.76,17.22,4.45,8.03,6.12,4.8,2.78,0.36,2.19,64.68681000002525
