id_hogar,id_persona,es_trabajador,es_familia,dia_semana,dia_fin_semana,parentesco,n_menores6,n_menores12,n_men15,n_menores18,n_menores,n_mayores,n_tiempo,n_trabajadores,n_profesionales,hay_tercera,n_personas,edad_promedio,tiene_hijos,en_pareja,vive_pareja,servicio_domestico,ayuda_cercanos,fuentes_externas,sexo,edad_años,tramo_edad,nivel_escolaridad,estudia,trabaja,horas_trabajo,quintil,macrozona,region,prop_hogar,cae,cise,ciuo_agrupada,t11_1_1,t11_1_2,t11_1_3,t11_1_4,t11_1_5,t11_1_6,t11_1_7,t11_1_8,t12_1_1,t12_1_2,t12_1_3,t12_1_4,t12_1_5,t13_1_1,t13_1_2,t14_1_1,t15_1_1,ing_ocuppal,ing_trab,ing_jub_aps,ing_g,ing_mon,ing_mon_pc,ing_gpp,ing_personal,ingreso_hogar,income_person_week,t_paid_work,t_job_search,t_domestic_work,t_care_work,t_unpaid_voluntary,t_education,t_leisure,t_personal_care,t_meals,t_sleep,t_commute1,t_total,temp,w,savings,alimentos,vestimenta,cuentas,hogar,salud,transporte,comunicaciones,recreacion,educacion,restaurantes,total_expenses
9100,29446,1,0,3,7,1,0,0,0,0,0,2,2,2,0,0,2,25,0,1,1,0,0,0,1,22,12-24,secundaria,0,1,48,4,norte,2,0.29411764705882354,Ocupada(o),2,3,2,2,85,1,2,2,3,3,2,3,2,2,2,4,85,2,1,62.5,62.5,0,0,212.5,106.25,0,62.5,212.5,106.25,48,0,15.52,0.8,1.45,0,56.56,2.03,5.04,37.11,1.49,168,168,1.3020833333333333,-2.468824982710154,9.48,3.78,15.26,2.99,4.77,10.71,5.24,3.5,4.12,5.12,64.96882498271016
9100,29447,1,0,3,7,2,0,0,0,0,0,2,2,2,0,0,2,25,0,1,1,0,0,0,0,28,25-44,secundaria,0,1,84,4,norte,2,0.7058823529411765,Ocupada(o),2,3,3,2,85,2,3,1,4,4,3,2,3,4,3,2,85,2,1,150,150,0,0,0,0,0,150,212.5,106.25,84,0,10.78,2.03,0,0.89,25.72,1.2,5.21,30.140000000000008,8.03,168,168,1.7857142857142858,-5.925179958504369,22.76,9.08,36.61,7.18,11.44,25.7,12.59,8.4,9.88,12.29,155.92517995850437
9102,29452,1,1,1,7,1,2,0,2,0,2,2,2,2,2,0,4,17.5,1,1,1,0,0,0,0,35,25-44,universitaria,0,1,40,5,centro,7,0.6451612903225806,Ocupada(o),1,1,1,5,5,2,4,2,2,3,4,4,1,1,4,5,5,1,1,300,300,0,80,545,136.25,51.61290322580645,351.61,545,129.15322580645162,40,0,10.32,33.16,0,0,30.71,2.54,10.27,39.279999999999994,1.72,168.00000000000003,168,7.5,-30.977568243821086,36.7,20.21,61.69,23.13,29.63,72.34,22.7,26.81,55.23,34.14,382.5875682438211
9103,29458,1,1,5,6,8,0,2,2,1,3,4,4,3,0,0,7,36.714285714285715,1,1,1,0,0,0,0,43,25-44,primaria,0,1,60,3,norte,3,0.5,Ocupada(o),2,6,2,2,3,3,2,3,2,1,2,3,2,2,3,3,4,2,1,150,150,0,0,0,0,0,150,300,42.857142857142854,60,0,1.37,2.48,0,0,53.38,0.95,9.4,37.76,2.66,168,168,2.5,19.42976078695186,51.89,6.14,16.52,6.01,9.9,19.29,8.36,5.09,3.31,4.06,130.57023921304813
9103,29459,1,1,5,6,12,0,2,2,1,3,4,4,3,0,0,7,36.714285714285715,1,1,1,0,0,0,1,36,25-44,primaria,0,1,12,3,norte,3,0.10833333333333334,Ocupada(o),4,3,4,2,4,4,4,4,4,3,4,4,4,4,4,3,4,2,2,32.5,32.5,0,0,0,0,0,32.5,300,42.857142857142854,12,0,36.98,11.48,0,0,43.25,3.94,8.32,50.83000000000001,1.2,168,168,2.7083333333333335,4.20978150383957,11.24,1.33,3.58,1.3,2.14,4.18,1.81,1.1,0.72,0.88,28.29021849616043
9103,29460,0,0,5,6,12,0,2,2,1,3,4,4,3,0,0,7,36.714285714285715,0,0,0,0,0,0,0,15,12-24,primaria,1,0,0,3,norte,3,0,Inactiva(o),0,7,4,85,85,4,85,5,4,5,2,85,4,4,85,85,85,3,0,0,0,0,0,0,0,0,0,300,42.857142857142854,0,0,2.8,5.04,0,9.87,64.95,0.85,12.31,68.93,3.25,167.99999999999997,168,NA,0,0,0,0,0,0,0,0,0,0,0,0
9107,29472,0,0,3,6,3,0,0,0,0,0,4,4,3,1,0,4,33.25,0,0,0,0,0,0,1,21,12-24,secundaria,1,0,4,3,metropolitana,13,0.07042253521126761,Ocupada(o),2,2,4,85,85,3,3,4,2,2,3,3,2,3,2,85,85,2,6,12.5,12.5,0,0,0,0,0,12.5,177.5,44.375,4,0,4.28,0.9,0,14.54,61.21,5.91,8.71,60.69,7.76,168,168,3.125,-2.992982170008138,4.33,0.61,2.89,0.61,1.27,2.3,1.19,0.68,0.6,1.02,15.492982170008137
9107,29474,1,0,3,6,3,0,0,0,0,0,4,4,3,1,0,4,33.25,0,0,0,0,0,0,0,28,25-44,universitaria,0,1,12,3,metropolitana,13,0.2535211267605634,Ocupada(o),2,1,4,85,85,2,4,3,2,4,3,3,4,3,4,85,85,2,1,45,45,0,0,0,0,0,45,177.5,44.375,12,0,10.56,1.43,0,0,54.79,4.36,19.66,55.69999999999999,9.5,168,168,3.75,-10.774735812029295,15.58,2.18,10.41,2.21,4.56,8.27,4.3,2.44,2.15,3.68,55.77473581202929
9109,29477,1,0,5,7,1,0,0,0,0,0,1,1,1,1,0,1,44,1,0,0,0,0,0,0,44,25-44,técnica,0,1,48,5,norte,5,1,Ocupada(o),2,1,5,85,5,4,5,4,5,5,3,4,5,5,5,85,85,2,8,250,375,0,0,375,375,0,375,375,375,48,0,20.65,0,0,4.1,38.57,2.47,9.42,43.7,1.09,168,168,7.8125,-34.95959783883983,43.42,17.75,101.89,34.72,39.77,65.04,28.35,27.9,18.16,32.97,409.95959783883984
9111,29485,1,1,5,6,1,1,0,1,1,2,2,3,2,0,0,4,25.25,1,1,1,0,0,0,1,42,25-44,secundaria,1,1,6,1,metropolitana,13,0.07407407407407407,Ocupada(o),2,5,2,4,4,3,2,3,3,4,1,1,3,3,3,2,2,3,0,5,5,0,0,67.5,16.875,0,5,67.5,16.875,6,0,19.67,49.85,0,0,26.95,2.81,7.66,55.029999999999994,0.03,167.99999999999997,168,0.8333333333333334,-2.666702317710568,2.88,0.33,1.57,0.21,0.43,0.82,0.5,0.27,0.3,0.35,7.666702317710568
