id_persona,id_hogar,es_trabajador,es_familia,dia_semana,dia_fin_semana,parentesco,n_menores6,n_menores12,n_men15,n_menores18,n_menores,n_mayores,n_tiempo,n_trabajadores,n_profesionales,hay_tercera,n_personas,edad_promedio,tiene_hijos,en_pareja,vive_pareja,servicio_domestico,ayuda_cercanos,fuentes_externas,sexo,edad_años,tramo_edad,nivel_escolaridad,estudia,trabaja,horas_trabajo,quintil,macrozona,region,prop_hogar,cae,cise,ciuo_agrupada,t11_1_1,t11_1_2,t11_1_3,t11_1_4,t11_1_5,t11_1_6,t11_1_7,t11_1_8,t12_1_1,t12_1_2,t12_1_3,t12_1_4,t12_1_5,t13_1_1,t13_1_2,t14_1_1,t15_1_1,ing_ocuppal,ing_trab,ing_jub_aps,ing_g,ing_mon,ing_mon_pc,ing_gpp,ing_personal,ingreso_hogar,income_person_week,t_paid_work,t_job_search,t_domestic_work,t_care_work,t_unpaid_voluntary,t_education,t_leisure,t_personal_care,t_meals,t_sleep,t_commute1,t_total,temp,w
3039,936,1,1,2,6,1,1,0,1,0,1,2,2,2,0,0,3,22,1,1,1,0,0,0,0,33,25-44,secundaria,0,1,60,3,sur,10,0.546875,Ocupada(o),2,6,2,2,2,4,1,3,5,2,3,2,1,1,1,1,2,1,1,87.5,87.5,0,1.5,161.5,53.833333333333336,0.8203125,88.32,161.5,53.606770833333336,60,0,1.01,5.5,2.7,0,38.74,4.85,8.67,39.31000000000001,7.22,168,168,1.4583333333333333
3043,937,0,0,2,7,2,0,0,0,0,0,3,2,2,1,0,3,52,1,1,1,0,0,0,1,56,45-65,ninguna,0,0,0,4,metropolitana,13,0,Inactiva(o),0,7,5,4,4,4,85,4,5,4,3,85,4,4,85,4,4,3,0,0,0,0,0,0,0,0,0,200,66.66666666666667,0,0,5.85,1.11,77.34,0.68,50.5,2.34,3.58,26.6,0,168.00000000000003,168,NA
3045,938,0,0,4,7,1,0,0,0,0,0,3,3,1,0,0,3,63.333333333333336,1,1,1,0,0,0,0,77,66+,primaria,0,0,0,4,centro,8,0.3835978835978836,Inactiva(o),0,7,5,5,5,85,85,4,4,4,4,85,4,4,85,5,5,3,0,0,0,72.5,0,189,63,0,72.5,189,63,0,0,15.67,0,0,0,42.01,31.87,15.38,53.99000000000001,9.08,168,168,NA
3047,938,1,0,4,7,3,0,0,0,0,0,3,3,1,0,1,3,63.333333333333336,0,0,0,0,0,0,0,44,25-44,secundaria,0,1,45,4,centro,8,0.46296296296296297,Ocupada(o),2,3,4,85,85,4,4,2,2,4,3,3,4,4,4,85,85,3,0,87.5,87.5,0,0,0,0,0,87.5,189,63,45,0,5.51,1.83,0,0,44.47,2.38,8.31,51.13,9.37,168,168,1.9444444444444444
3051,940,0,0,4,6,2,0,2,2,0,2,2,2,1,1,0,4,25.5,1,1,1,0,0,0,1,41,25-44,técnica,0,0,0,2,centro,6,0,Inactiva(o),0,7,3,5,5,5,85,3,2,3,4,85,4,4,85,5,5,2,9,0,0,0,0,0,0,0,0,150,37.5,0,0,42.9,22.56,0,2.61,48.03,3.56,6.02,42.31999999999999,0,168.00000000000003,168,NA
3054,941,1,1,4,6,1,0,0,0,0,0,3,2,1,0,0,3,59.333333333333336,1,1,1,0,0,0,0,63,45-65,ninguna,0,1,40,2,sur,10,0.6226415094339622,Ocupada(o),2,4,4,4,4,4,5,3,4,4,4,3,4,4,3,3,3,3,0,57.75,57.75,0,0,92.75,30.916666666666668,0,57.75,92.75,30.916666666666668,40,0,15.66,0.24,2.96,0,32.55,1.72,6.58,64.61000000000001,3.68,168,168,1.44375
3063,944,0,0,2,6,1,0,1,1,0,1,3,3,1,1,0,4,50.75,1,1,1,0,0,0,0,74,66+,ninguna,0,0,0,3,norte,3,0.23584905660377356,Inactiva(o),0,7,4,4,4,85,85,1,1,4,2,85,5,5,85,5,5,3,0,0,0,37.5,25,184,46,5.89622641509434,43.4,184,41.22405660377358,0,0,44.7,12.07,0,0,32.64,7.81,13.73,57.05,0,168,168,NA
3065,944,1,0,2,6,3,0,1,1,0,1,3,3,1,1,1,4,50.75,1,0,0,0,0,0,1,47,45-65,técnica,0,1,45,3,norte,3,0.6132075471698113,Ocupada(o),2,2,2,85,2,2,1,2,2,2,2,2,2,2,2,85,85,2,1,97.5,97.5,0,0,0,0,15.330188679245282,112.83,184,43.58254716981132,45,0,15.98,20.21,0.37,0,39.86,3.46,7.04,29.34,6.74,168,168,2.1666666666666665
3068,945,1,0,5,7,2,0,0,0,0,0,2,2,2,0,0,2,59.5,0,1,1,0,0,0,1,57,45-65,primaria,0,1,16,2,metropolitana,13,0.16666666666666666,Ocupada(o),1,3,4,4,85,85,4,3,3,4,4,4,3,3,4,4,85,3,0,12.5,12.5,0,0,0,0,0,12.5,75,37.5,16,0,31.08,2.85,0,0,53.66,2.69,6.85,54.27000000000001,0.6,168,168,0.78125
3069,946,0,0,3,6,1,0,0,0,0,0,1,1,0,0,0,1,72,1,0,0,0,0,0,1,72,66+,primaria,0,0,0,4,sur,14,1,Inactiva(o),0,7,5,85,5,5,85,5,5,5,5,85,5,5,85,85,85,2,9,0,0,87.5,0,87.5,87.5,0,87.5,87.5,87.5,0,0,21.3,0,26.97,0,47.49,4.74,11.14,56.36000000000001,0,168,168,NA
3081,950,0,0,3,7,1,0,0,0,1,1,4,3,0,1,0,5,45.4,1,1,1,0,0,0,0,73,66+,secundaria,0,0,0,1,norte,3,1,Inactiva(o),0,7,3,5,5,85,85,4,4,5,2,85,4,4,85,4,85,3,0,0,0,90,0,90,18,0,90,90,18,0,0,0,1.31,0,0,95.37,3.67,14.63,53.02,0,168,168,NA
3083,950,0,0,3,7,3,0,0,0,1,1,4,3,0,1,1,5,45.4,1,0,0,0,0,0,1,40,25-44,secundaria,0,0,0,1,norte,3,0,Inactiva(o),0,7,4,85,4,4,85,2,4,4,2,85,4,4,85,85,85,3,0,0,0,0,0,0,0,0,0,90,18,0,0,30.94,13.08,0,0,50.28,5.45,11.39,56.85999999999999,0,168,168,NA
3098,953,0,0,2,7,3,0,0,1,1,1,3,4,2,0,0,4,25,0,1,1,0,0,0,1,19,12-24,primaria,1,0,0,4,norte,1,0,Inactiva(o),0,7,3,4,85,4,4,2,4,5,4,4,4,4,4,96,85,2,6,0,0,0,0,0,0,0,0,390.5,96.875,0,0,22.68,4.66,0.03,30.89,45.09,5.11,2.74,54.8,2,168,168,NA
3099,953,0,0,2,7,3,0,0,1,1,1,3,4,2,0,0,4,25,0,0,0,0,0,0,0,13,12-24,ninguna,1,0,0,4,norte,1,0,Menor de 15 años,0,7,5,85,85,5,3,4,5,5,5,3,5,5,5,85,85,3,0,0,0,0,0,0,0,0,0,390.5,96.875,0,0,12.18,2.74,0,37.29,51.65,6.46,7.19,48.99000000000001,1.5,167.99999999999997,168,NA
3103,954,0,0,4,6,3,1,1,3,1,3,3,4,2,2,0,6,21.5,0,0,0,0,0,0,1,14,12-24,primaria,1,0,0,5,metropolitana,13,0,Menor de 15 años,0,7,3,4,85,2,85,4,4,4,4,85,2,4,85,85,85,2,6,0,0,0,0,0,0,0,0,914,145.83333333333334,0,0,12.87,7.61,0.47,33.19,42.81,3.95,8.94,55.39000000000001,2.77,168,168,NA
3106,955,1,0,5,6,1,0,0,0,0,0,1,1,1,0,0,1,28,0,0,0,0,0,0,1,28,25-44,primaria,0,1,45,3,sur,10,1,Ocupada(o),2,5,2,85,85,3,4,4,4,3,1,4,2,3,1,85,85,1,5,62.5,62.5,0,0,62.5,62.5,0,62.5,62.5,62.5,45,0,33.96,0,3.61,1.54,40.69,1.22,4.84,32.07,5.07,168,168,1.3888888888888888
3107,956,0,0,5,6,1,2,0,3,1,3,5,5,2,0,0,8,26.375,1,0,0,0,0,0,1,69,66+,ninguna,0,0,0,1,norte,4,0.1997537703908895,Inactiva(o),0,7,4,85,4,2,85,4,4,4,4,85,4,4,85,85,85,2,5,0,0,32.45,7.25,169.7,21.2125,1.448214835333949,33.9,169.7,20.487276854416745,0,0,30.75,16.25,0.4,0,29.11,2.81,11.47,77.21,0,168,168,NA
3111,956,1,0,5,6,8,2,0,3,1,3,5,5,2,0,0,8,26.375,1,0,0,0,0,0,1,31,25-44,secundaria,0,1,6,1,norte,4,0.18467220683287167,Ocupada(o),2,3,2,85,2,2,4,2,2,2,2,4,4,2,4,85,85,2,2,30,30,0,0,0,0,1.3388734995383196,31.34,169.7,20.47360918744229,6,0,32.56,31.97,2.93,0,19.84,12.19,5.39,57.05,0.07,168,168,5
3131,961,0,0,3,6,1,0,0,0,0,0,2,1,0,0,0,2,56.5,1,0,0,0,0,0,0,71,66+,primaria,0,0,0,1,sur,12,1,Inactiva(o),0,7,3,85,3,85,85,2,3,4,3,85,4,4,85,85,85,3,0,0,0,22.441,0,22.441,11.2205,0,22.44,22.441,11.2205,0,0,30.02,6.42,0,0,41.94,8.86,15.46,65.3,0,168.00000000000003,168,NA
3141,963,1,0,3,7,1,0,0,0,0,0,2,2,2,0,0,2,48.5,1,0,0,0,0,0,0,62,45-65,ninguna,0,1,9,4,norte,4,0.21138211382113822,Ocupada(o),1,4,4,85,4,85,4,4,4,4,2,4,4,4,4,85,85,2,1,32.5,32.5,0,32.5,186.25,93.125,6.869918699186992,39.37,186.25,80.3099593495935,9,0,20.12,1.33,0,0,64.77,4.5,9.49,52.80000000000001,5.99,168,168,3.611111111111111
3144,965,0,0,2,6,1,0,0,0,1,1,2,1,1,0,0,3,35.666666666666664,1,0,0,0,0,0,1,71,66+,ninguna,0,0,0,2,centro,7,0.38375350140056025,Inactiva(o),0,7,4,85,4,85,85,4,4,4,3,85,4,4,85,85,85,1,4,0,0,34.25,17.5,106.75,35.583333333333336,6.715686274509804,40.97,106.75,31.988562091503265,0,0,29.71,6.4,0,0,59.18,3.07,7.69,61.95000000000001,0,168,168,NA
