id_persona,id_hogar,es_trabajador,es_familia,dia_semana,dia_fin_semana,parentesco,n_menores6,n_menores12,n_men15,n_menores18,n_menores,n_mayores,n_tiempo,n_trabajadores,n_profesionales,hay_tercera,n_personas,edad_promedio,tiene_hijos,en_pareja,vive_pareja,servicio_domestico,ayuda_cercanos,fuentes_externas,sexo,edad_años,tramo_edad,nivel_escolaridad,estudia,trabaja,horas_trabajo,quintil,macrozona,region,prop_hogar,cae,cise,ciuo_agrupada,t11_1_1,t11_1_2,t11_1_3,t11_1_4,t11_1_5,t11_1_6,t11_1_7,t11_1_8,t12_1_1,t12_1_2,t12_1_3,t12_1_4,t12_1_5,t13_1_1,t13_1_2,t14_1_1,t15_1_1,ing_ocuppal,ing_trab,ing_jub_aps,ing_g,ing_mon,ing_mon_pc,ing_gpp,ing_personal,ingreso_hogar,income_person_week,t_to,t_to_js,t_tcnr_ce,t_tcnr_re,t_tcnr_oac,t_tdnr_psc,t_tdnr_lv,t_tdnr_lrc,t_tdnr_mrm,t_tdnr_admnhog,t_tdnr_comphog,t_tdnr_cmp,t_tvaoh_tv,t_tvaoh_oh,t_cpaf_cp,t_cpag_comer,t_cpag_dormir,t_ed,t_vsyo_csar,t_vsyo_aa,t_mcm,t_tt1,t_total,w
9786,3015,1,0,4,6,1,0,1,1,1,2,1,2,1,0,0,3,23.666666666666668,1,0,0,0,0,0,1,46,45-65,secundaria,0,1,14,1,centro,8,1,Ocupada(o),1,1,4,85,3,3,5,5,5,5,4,5,4,4,4,85,85,1,1,50,50,0,0,50,16.666666666666668,0,50,50,16.666666666666668,14,0,3.02,3.39,4.06,3.36,1.59,0.67,0,0,7.79,2.09,1.01,0,2.03,9.78,51.859999999999985,0,7.29,0,35.7,20.36,168,3.5714285714285716
9788,3015,0,0,4,6,3,0,1,1,1,2,1,2,1,0,0,3,23.666666666666668,0,0,0,0,0,0,1,17,12-24,primaria,1,0,0,1,centro,8,0,Inactiva(o),0,7,5,85,85,3,85,4,5,5,5,85,5,4,85,85,85,3,0,0,0,0,0,0,0,0,0,50,16.666666666666668,0,0,0.49,0,0,0.33,0.16,0,0,0,5.9,0,0,0,5.98,4.25,55.39000000000001,68.84,8.3,0.98,12.78,4.6,168,NA
9790,3016,1,1,3,7,2,0,0,0,0,0,3,3,2,0,0,3,41,1,1,1,0,0,0,0,49,45-65,secundaria,0,1,48,3,metropolitana,13,0.6024096385542169,Ocupada(o),2,2,4,5,4,85,3,3,3,3,4,3,3,3,4,4,4,2,1,100,100,0,0,0,0,0,100,166,55.333333333333336,48,0,0,0,0.18,0.39,2.37,0,7.78,0.28,2.11,1.19,0,0,2.44,15.75,53.87,0,3.39,5.23,13.87,11.15,168,2.0833333333333335
9791,3016,0,0,3,7,3,0,0,0,0,0,3,3,2,0,0,3,41,0,0,0,0,0,0,0,23,12-24,secundaria,1,0,0,3,metropolitana,13,0,Inactiva(o),0,7,4,3,85,3,85,1,4,4,3,85,4,4,85,85,85,2,7,0,0,0,0,0,0,0,0,166,55.333333333333336,0,0,0,0,0.93,1.57,5.1,0,0,0,0.05,0.21,0,1.39,2.7,5.11,60.17,7.72,42.47,3.67,36.91,0,168,NA
9792,3017,0,0,3,6,1,0,0,0,0,0,1,1,0,0,0,1,80,1,0,0,0,0,0,1,80,66+,ninguna,0,0,0,2,sur,14,1,Inactiva(o),0,7,5,85,1,85,85,4,4,5,2,85,4,4,85,85,85,3,0,0,0,35,0,35,35,0,35,35,35,0,0,0,0,0,2.28,2.08,1.04,0,1.12,0.45,0.64,0,0,2.94,8.42,82.59,0,11.92,1.04,53.48,0,168,NA
9795,3018,0,0,3,6,3,0,0,1,1,1,2,3,2,0,0,3,23.333333333333332,0,0,0,0,0,0,0,12,12-24,ninguna,1,0,0,3,sur,11,0,Menor de 15 años,0,7,2,85,85,4,85,4,4,4,85,85,4,4,85,85,85,3,0,0,0,0,0,0,0,0,0,138.5,46.166666666666664,0,0,0,0,2.04,0,0,0,0,0,0.63,1,0,0,1.44,3.83,46,26.35,38.65,22.46,24.34,1.26,168,NA
9796,3019,0,0,4,6,1,0,0,0,0,0,2,2,1,1,0,2,51,1,0,0,0,0,0,1,61,45-65,primaria,0,0,0,5,metropolitana,13,0.06832298136645963,Inactiva(o),0,7,4,85,4,85,85,4,4,4,3,85,4,4,85,85,85,2,9,0,0,27.5,32.5,435,217.5,2.220496894409938,29.72,435,202.36024844720498,0,0,0,0,0,5.2,3.25,1.14,0,0,0.54,0.8,0,0,2.97,9.02,47.790000000000006,0,51.23,9.83,36.23,0,168,NA
9799,3020,0,0,4,6,2,0,0,1,1,1,4,3,1,1,0,5,31,1,1,1,0,0,0,1,51,45-65,primaria,0,0,0,1,centro,8,0,Inactiva(o),0,7,4,4,3,3,85,4,3,3,4,85,3,3,85,3,3,2,2,0,0,0,0,0,0,0,0,100,20,0,0,7.35,2.45,4.68,19.7,18.25,7.06,0,0,3.25,1.96,0,0,3.24,11.51,46.64000000000001,0,9.45,0,32.46,0,168.00000000000003,NA
9801,3020,0,0,4,6,3,0,0,1,1,1,4,3,1,1,0,5,31,0,0,0,0,0,0,0,18,12-24,secundaria,1,0,0,1,centro,8,0,Inactiva(o),0,7,4,85,85,3,85,5,3,3,5,85,4,4,85,85,85,2,6,0,0,0,0,0,0,0,0,100,20,0,0,2.11,0,7.67,0.78,0.25,0,0,0,8.09,0,0,0,4.98,4.25,50.57,8.56,46.97,6.59,23.69,3.49,168,NA
9804,3021,1,1,5,7,2,0,0,0,0,0,2,1,1,0,0,2,63.5,1,1,1,0,0,0,1,64,45-65,secundaria,0,1,60,4,norte,5,0.34782608695652173,Ocupada(o),1,3,4,4,2,85,4,2,2,3,2,3,3,3,3,4,85,3,0,50,50,0,0,0,0,6.956521739130435,56.96,163.75,75.35326086956522,60,0,0,0,1.44,2.6,1.5,1.29,0,0,0.08,2,0,1.02,1.69,4.97,43.81999999999999,0,1.01,3.98,42.5,0.1,168,0.8333333333333334
